Set,Qty,Name,Text,Type,Faction / Color,Cost,Defense,Other,Role,Notes,Artist
Boss Deck: Lich,1,Unending Rage,"{Expend}: {Gain 7 combat}
<hr>
It’s dangerous to release anger that’s been bottled up for centuries.",Soul Jar ◆ 55 Health,,,,,Soul Jar,,Apsara
Boss Deck: Lich,1,Void,"{Expend}: Each opposing player loses 3 health.
<i>(This causes an enemy boss to lose 9 health.)</i>",Soul Jar ◆ 50 Health,,,,,Soul Jar,,Apsara
Boss Deck: Lich,1,Abomination,{Expend}: {Gain 4 combat},Minion ◆ Undead ◆ Construct,,,6 Guard,,Grimoire,,Andres Agostini
Boss Deck: Lich,1,Banshee,"{Expend}: Deal 2 damage to each opposing champion and player.
<i>(Guards do not prevent this. This deals 6 damage to an enemy boss and 2 damage to their champions.)</i>",Minion ◆ Undead,,,3,,Grimoire,,Anna Lakisova
Boss Deck: Lich,1,Ghoul,"{Expend}: {Gain 3 combat}
+{1 combat} for each champion in your discard pile.",Minion ◆ Undead,,,5 Guard,,Grimoire,,Francisco Miyara
Boss Deck: Lich,1,Revenant,"{Expend}: {Gain 5 health}
<i>or</i>
Stun an opposing champion.",Minion ◆ Undead,,,5,,Grimoire,,David Gaillet
Boss Deck: Lich,3,Skeleton Horde,"{Expend}: Gain {combat} equal to the starting size of the party.
<i>(When playing against a boss, gain {3 combat}.)</i>",Minion ◆ Undead,,,4,,Grimoire,,Jack Hoyle
Boss Deck: Lich,1,Wall of Bones,,Minion ◆ Undead ◆ Construct,,,8 Guard,,Grimoire,,Grzegorz Pedrycz
Boss Deck: Lich,1,Wall of Fire,"{Expend}: Deal 2 damage to each opposing player.
<i>(Guards do not prevent this. This deals 6 damage to an enemy boss.)</i>",Minion ◆ Magic ◆ Construct,,,7,,Grimoire,,Shen Fei
Boss Deck: Lich,1,Zombie,{Expend}: {Gain 2 combat},Minion ◆ Undead,,,1,,Grimoire,,Souveraine
Boss Deck: Lich,1,Frozen Touch,"Gain {combat} equal to the starting size of the party.
<i>(When playing against a boss, gain {3 combat}.)</i>
Target defeated player discards their hand. You can target <i>any</i> defeated player, even if another player has Stepped Up.",Action ◆ Curse,,,,,Personal Deck,,Dhennis Balontong
Boss Deck: Lich,2,Gold,{Gain 1 gold},Item ◆ Currency ◆ Coin,,,,,Personal Deck,,Antonis Papantoniou
Boss Deck: Lich,1,Minor Summoning,Perform a summoning.,Action ◆ Spell,,,,,Personal Deck,,Olivier Bernard
Boss Deck: Lich,1,Major Summoning,"Perform X summonings, where X is the starting size of the party.
<i>(When playing against a boss, X is 3.)</i>",Action ◆ Spell,,,,,Personal Deck,,David Nash
Boss Deck: Lich,2,Ruby,{Gain 2 gold},Item ◆ Currency ◆ Gem,,,,,Personal Deck,,Apsara
Boss Deck: Lich,1,Soul Crush,"{Gain 3 combat}
<i>or</i>
Stun target champion.",Action ◆ Curse,,,,,Personal Deck,,Grzegorz Pedrycz
Boss Deck: Lich,2,Soul Diamond,"Gain {gold} equal to the starting size of the party.
<i>(When playing against a boss, gain {3 gold}.)</i>
<hr>
{Sacrifice}: Stun all champions target player controls.",Item ◆ Currency ◆ Gem,,,,,Personal Deck,,Andres Agostini
Boss Deck: Lich,1,Corruption | Control,"CORRUPT THE CITY
When you shuffle your deck, count the number of cards in your deck, in your hand, and in play.
<i>(Don’t count cards from the Grimoire.)</i>
If that total is 20 or more, you begin corrupting the city. The citizens begin to do your bidding and you gain the power listed below.
If that total is 30 or more, you have corrupted the city! Flip this card over!
<hr>
{Expend}: Perform a summoning. Gain {combat} equal to the starting size of the party.
<i>(When playing against a boss, gain {3 combat}.)</i>
|
COMMAND THE CITY
You have corrupted the entire city! It is under your command! This power replaces your Corruption power for the rest of the game:
<hr>
{Expend}: Perform two summonings. Gain {combat} equal to twice the starting size of the party.
<i>(When playing against a boss, gain {6 combat}.)</i>",Lich Power,,,,,Character Ability,,Grzegorz Pedrycz
Boss Deck: Lich,1,Lich | Rules,,Boss ◆ Villain,,,,,Boss,,Dhennis Balontong
Boss Deck: Lich,1,Scorecard (40-70) | Scorecard (00-30),,,,,,,Scorecard,,Dhennis Balontong
Boss Deck: Lich,1,Scorecard (00-09) | Scorecard (80-89),,,,,,,Scorecard,,Dhennis Balontong
Boss Deck: Dragon,1,Demon Coin,{Gain 1 gold},Item ◆ Currency ◆ Coin,Necros,,,,Personal Deck,,Apsara
Boss Deck: Dragon,1,Dragon's Bite,{Gain 4 combat},Action,,,,,Personal Deck,,Dhennis Balontong
Boss Deck: Dragon,1,Dragon's Claw A,"{Gain 3 combat}
If you have another Dragon’s Claw in play when you play this, draw a card.",Action,,,,,Personal Deck,,Jack Hoyle
Boss Deck: Dragon,1,Dragon's Fire A,"{Gain 4 combat}
<hr>
{Sacrifice}: Deal 4 damage to each opposing champion. <i>(Guards do not prevent this.)</i>",Action,,,,,Personal Deck,,Takashi Tan
Boss Deck: Dragon,1,Dragon's Tail,Deal 2 damage to each opposing champion and hero. <i>(Guards do not prevent this. This deals 6 damage to an enemy boss and 2 damage to their champions.)</i>,Action,,,,,Personal Deck,,Jaime Tayag
Boss Deck: Dragon,1,Elven Gold,{Gain 1 gold},Item ◆ Currency,Wild,,,,Personal Deck,,Melvin Chan
Boss Deck: Dragon,1,Guild Mark,{Gain 1 gold},Item ◆ Currency ◆ Coin,Guild,,,,Personal Deck,,Grant Griffin
Boss Deck: Dragon,1,Hoard,"{Gain 1 gold}
Reveal the next card in the Treasure Hoard.
<i>or</i>
If another player has more Hoard Items than you, steal one of them.",Action,,,,,Personal Deck,You gain 1 gold AND either effect.,Shen Fei
Boss Deck: Dragon,1,Imperial Chevron,{Gain 1 gold},Item ◆ Currency ◆ Coin,Imperial,,,,Personal Deck,,Dudu Torres
Boss Deck: Dragon,1,Ruby A,{Gain 2 gold},Item ◆ Currency ◆ Gem,,,,,Personal Deck,,Apsara
Boss Deck: Dragon,1,Ruby B,"<i>(Put this card into your starting deck when facing two or more heroes or a boss.)</i>
{Gain 2 gold}",Item ◆ Currency ◆ Gem,,,,,Personal Deck 2+,,Apsara
Boss Deck: Dragon,1,Dragon's Claw B,"<i>(Put this card into your starting deck when facing two or more heroes or a boss.)</i>
{Gain 3 combat}
If you have another Dragon’s Claw in play when you play this, draw a card.",Action,,,,,Personal Deck 2+,,Jack Hoyle
Boss Deck: Dragon,1,Cunning Blow,"<i>(Put this card into your starting deck when facing three or more heroes or a boss.)</i>
{Gain 3 combat} <i>or</i> Stun a champion.
<hr>
{Sacrifice}: You are no longer taunted and can’t be taunted until the end of your next turn.",Action,,,,,Personal Deck 3+,,David Gaillet
Boss Deck: Dragon,1,Prismatic Diamond A,"<i>(Put this card into your starting deck when facing three or more heroes or a boss.)</i>
{Gain 3 gold}
<hr>
{Sacrifice}: You may steal a Hoard Item back from a player by performing its Skill Check.",Item ◆ Currency ◆ Gem,,,,,Personal Deck 3+,,Anna Lakisova
Boss Deck: Dragon,1,Dragon's Fire B,"<i>(Put this card into your starting deck when facing four or more heroes.)</i>
{Gain 4 combat}
<hr>
{Sacrifice}: Deal 4 damage to each opposing champion. <i>(Guards do not prevent this.)</i>",Action,,,,,Personal Deck 4+,,Takashi Tan
Boss Deck: Dragon,1,Ruby C,"<i>(Put this card into your starting deck when facing four or more heroes.)</i>
{Gain 2 gold}",Item ◆ Currency ◆ Gem,,,,,Personal Deck 4+,,Apsara
Boss Deck: Dragon,1,Prismatic Diamond B,"<i>(Put this card into your starting deck when facing five or more heroes.)</i>
{Gain 3 gold}
<hr>
{Sacrifice}: You may steal a Hoard Item back from a player by performing its Skill Check.",Item ◆ Currency ◆ Gem,,,,,Personal Deck 5+,,Anna Lakisova
Boss Deck: Dragon,1,Dragon's Claw C,"<i>(Put this card into your starting deck when facing five or more heroes.)</i>
{Gain 3 combat}
If you have another Dragon’s Claw in play when you play this, draw a card.",Action,,,,,Personal Deck 5+,,Jack Hoyle
Boss Deck: Dragon,1,Amulet of Cleansing,"<i>To acquire: Skill Check 8</i>
<hr>
{Expend}: {Gain 1 gold}
Choose a faction. You count as having an extra card of that faction in play this turn. If you have all four factions in play, draw a card.",Hoard Item ◆ Magic Amulet,,,,,Treasure Hoard,,Johnny Morrow
Boss Deck: Dragon,1,Boots of Speed,"<i>To acquire: Skill Check 5</i>
<hr>
{Expend}: Put the next card you acquire this turn on top of your deck.",Hoard Item ◆ Magic Boots,,,,,Treasure Hoard,,Johnny Morrow
Boss Deck: Dragon,1,Crown of Will,"To acquire: Skill Check 5
<hr>
{Expend}: {Gain 1 gold} <i>or</i> {Gain 3 combat}",Hoard Item ◆ Magic Crown,,,,,Treasure Hoard,,Olivier Bernard
Boss Deck: Dragon,1,Gauntlets of Strength,"<i>To acquire: Skill Check 6</i>
<hr>
{Expend}: Gain {2 combat} for each faction you have in play.",Hoard Item ◆ Magic Armor ◆ Gauntlets,,,,,Treasure Hoard,,Cristian Gonzalez
Boss Deck: Dragon,1,Guardian's Shield,"<i>To acquire: Skill Check 4</i>
<hr>
Ignore the first 3 damage you would take each turn.
<i>(When playing boss vs boss, ignore the first 5 damage instead.)</i>",Hoard Item ◆ Magic Shield,,,,,Treasure Hoard,,Rainer Petter
Boss Deck: Dragon,1,Orb of Death,"<i>To acquire: Skill Check 5</i>
<hr>
{Expend}: Stun an opposing champion.",Hoard Item ◆ Magic Orb,,,,,Treasure Hoard,,Almeida
Boss Deck: Dragon,1,Ring of Wishes,"<i>To acquire: Skill Check 7</i>
<hr>
Ring of Wishes doesn’t prepare at end of turn. It only prepares when it is stolen.
<hr>
{Expend}: Search your deck <i>(shuffle afterwards)</i> or discard pile for a card and put it into your hand.",Hoard Item ◆ Magic Ring,,,,,Treasure Hoard,,Rainer Petter
Boss Deck: Dragon,1,Sword of Destiny,"<i>To acquire: Skill Check 5</i>
<hr>
{Expend}: {Gain 5 combat}",Hoard Item ◆ Magic Melee Weapon ◆ Sword,,,,,Treasure Hoard,,Helder Almeida
Boss Deck: Dragon,1,Vial of Elven Tears,"<i>To acquire: Skill Check 6</i>
<hr>
{Expend}: {Gain 5 health}
Choose a faction. You count as having an extra card of that faction in play this turn.",Hoard Item ◆ Magic Elixir,,,,,Treasure Hoard,,Ksenia Kozhenvikova
Boss Deck: Dragon,1,Dragon | Rules,,Boss ◆ Villain,,,,,Boss,,Dhennis Balontong
Boss Deck: Dragon,1,Scorecard (40-70) | Scorecard (00-30),,,,,,,Scorecard,,Dhennis Balontong
Boss Deck: Dragon,1,Scorecard (00-09) | Scorecard (80-89),,,,,,,Scorecard,,Dhennis Balontong
The Ruin of Thandar,1,Flame Burst,"{Sacrifice}: Deal 2 damage to target master or minion.
|
{Sacrifice}: Deal 2 damage to target player or champion.",Wizard Campaign Ability | Wizard Ability,,,,Level 1,Character Ability,,Haroon Akram
The Ruin of Thandar,1,Fire Blast,"{Sacrifice}: Deal 4 damage to target master or minion.
|
{Sacrifice}: Deal 4 damage to target player or champion.",Wizard Campaign Ability | Wizard Ability,,,,Level 2,Character Ability,,Haroon Akram
The Ruin of Thandar,1,Fireball,"{Sacrifice}: Deal 4 damage to each master and minion in target area.
|
{Sacrifice}: Deal 4 damage to target player and to each of their champions.",Wizard Campaign Ability | Wizard Ability,,,,Level 3,Character Ability,,Apsara
The Ruin of Thandar,1,Rolling Fireball,"{Sacrifice}: Focus <i>(This card may target beyond your area even if there are minions in your area.)</i>
Target a nearby area or the master’s area. Deal 4 damage to each master and minion in that area and to those in your area.
|
{Sacrifice}: Deal 4 damage to target player and to each of their champions. That player reveals their hand and discards all champions with {4 defense} or less in their hand.",Wizard Campaign Ability | Wizard Ability,,,,Level 4,Character Ability,,Melvin Chan
The Ruin of Thandar,1,Scorching Fireball,"{Sacrifice}: Deal 5 damage to each master and minion in target area.
|
{Sacrifice}: Deal 5 damage to target player and to each of their champions.",Wizard Campaign Ability | Wizard Ability,,,,Level 4,Character Ability,,Antonis Papantoniou
The Ruin of Thandar,1,Barreling Fireball,"{Sacrifice}: Focus <i>(This card may target beyond your area even if there are minions in your area.)</i>
Target a nearby area or the master’s area. Deal 6 damage to each master and minion in that area and to those in your area.
|
{Sacrifice}: Deal 6 damage to target player and to each of their champions. That player reveals their hand and discards a champion of your choice.",Wizard Campaign Ability | Wizard Ability,,,,Level 5,Character Ability,,Melvin Chan
The Ruin of Thandar,1,Explosive Fireball,"{Sacrifice}: Focus <i>(This card may target beyond your area even if there are minions in your area.)</i>
Target a nearby area or the master’s area. Deal 4 damage to each master and minion in that area and to those in your area.
|
{Sacrifice}: Deal 4 damage to target player and to each of their champions. That player reveals their hand and discards all champions with {4 defense} or less in their hand.",Wizard Campaign Ability | Wizard Ability,,,,Level 5,Character Ability,,Antonis Papantoniou
The Ruin of Thandar,1,Searing Fireball,"{Sacrifice}: Deal 7 damage to each master and minion in target area.
|
{Sacrifice}: Deal 7 damage to target player and to each of their champions.",Wizard Campaign Ability | Wizard Ability,,,,Level 5,Character Ability,,Apsara
The Ruin of Thandar,1,Channel,"{Expand and pay 2 gold}: {healthneg1}
Draw a card.",Wizard Campaign Skill | Wizard Skill,,,,Level 1,Character Skill,,Dhennis Balontong
The Ruin of Thandar,1,Deep Channel,"{Expand and pay 2 gold}: {healthneg1}
Look at the top two cards of your deck. Draw one and put the other one back.",Wizard Campaign Skill | Wizard Skill,,,,Level 2,Character Skill,,Shen Fei
The Ruin of Thandar,1,Calm Channel,{Expand and pay 2 gold}: Draw a card.,Wizard Campaign Skill | Wizard Skill,,,,Level 2,Character Skill,,Dhennis Balontong
The Ruin of Thandar,1,Soul Channel,"{Expand and pay 2 gold}: {healthneg1}
Look at the top three cards of your deck. Draw one and put the rest back in any order.",Wizard Campaign Skill | Wizard Skill,,,,Level 3,Character Skill,,Shen Fei
The Ruin of Thandar,1,Pure Channel,{Expand and pay 2 gold}: Look at the top two cards of your deck. Draw one and put the other one back.,Wizard Campaign Skill | Wizard Skill,,,,Level 3,Character Skill,,Antonis Papantoniou
The Ruin of Thandar,1,Serene Channel,"{Expand and pay 2 gold}: {Gain 2 health}
Draw a card.",Wizard Campaign Skill | Wizard Skill,,,,Level 3,Character Skill,,Dhennis Balontong
The Ruin of Thandar,1,Precision Blow,"{Sacrifice}: Deal 3 damage to target minion in your area.
|
{Sacrifice}: Deal 3 damage to target guard.",Fighter Campaign Ability | Fighter Ability,,,,Level 1,Character Ability,,Dhennis Balontong
The Ruin of Thandar,1,Powerful Blow,"{Sacrifice}: Deal 5 damage to target minion in your area.
|
{Sacrifice}: Deal 5 damage to target guard.",Fighter Campaign Ability | Fighter Ability,,,,Level 2,Character Ability,,Dhennis Balontong
The Ruin of Thandar,1,Crushing Blow,"{Sacrifice}: Deal 9 damage divided as you choose among minions in your area.
|
{Sacrifice}: {Gain 8 combat}",Fighter Campaign Ability | Fighter Ability,,,,Level 3,Character Ability,,Dhennis Balontong
The Ruin of Thandar,1,Sweeping Blow,"{Sacrifice}: Focus <i>(This card may target beyond your area even if there are minions in your area.)</i>
You may move target nearby minion to your area. Deal 9 damage divided as you choose among minions in your area.
|
{Sacrifice}: Deal 8 damage divided as you choose among opposing champions.
Draw a card.",Fighter Campaign Ability | Fighter Ability,,,,Level 4,Character Ability,,Simon Pape
The Ruin of Thandar,1,Smashing Blow,"{Sacrifice}: Draw a card if there are any minions in your area.
Deal 10 damage divided as you choose among minions in your area.
|
{Sacrifice}: {Gain 10 combat}",Fighter Campaign Ability | Fighter Ability,,,,Level 4,Character Ability,,Apsara
The Ruin of Thandar,1,Whirling Blow,"{Sacrifice}: Focus <i>(This card may target beyond your area even if there are minions i n your area.)</i>
You may move up to two target nearby minions to your area. Deal 10 damage divided as you choose among minions in your area.
|
{Sacrifice}: Deal 12 damage divided as you choose among opposing champions.
Draw a card.",Fighter Campaign Ability | Fighter Ability,,,,Level 5,Character Ability,,Simon Pape
The Ruin of Thandar,1,Mighty Blow,"{Sacrifice}: Focus <i>(This card may target beyond your area even if there are minions in your area.)</i>
You may move target nearby minion to your area.
Draw a card for each minion in your area. Deal 10 damage divided as you choose among minions in your area.
|
{Sacrifice}: {Gain 5 combat}
You may deal 6 damage to target champion.
Draw a card.",Fighter Campaign Ability | Fighter Ability,,,,Level 5,Character Ability,,Jean Baptiste Andrier
The Ruin of Thandar,1,Devastating Blow,"{Sacrifice}: Draw a card for each minion in your area.
Deal 10 damage to each minion in your area.
|
{Sacrifice}: {Gain 12 combat}",Fighter Campaign Ability | Fighter Ability,,,,Level 5,Character Ability,,Apsara
The Ruin of Thandar,1,Shoulder Bash,{Expand and pay 2 gold}: {Gain 2 combat},Fighter Campaign Skill | Fighter Skill,,,,Level 1,Character Skill,,Dhennis Balontong
The Ruin of Thandar,1,Knock Back,"{Expand and pay 2 gold}: {Gain 2 combat}
Focus <i>(This card may target beyond your area even if there are minions in your area.)</i>
You may move target nearby minion to your area.
|
{Expand and pay 2 gold}: {Gain 2 combat}
You may expend target champion.
<i>(Expended guards do not prevent targeting or attacking other champions or their controller. Cards prepare at the end of their controller’s turn.)</i>",Fighter Campaign Skill | Fighter Skill,,,,Level 2,Character Skill,,Melvin Chan
The Ruin of Thandar,1,Shoulder Smash,{Expand and pay 2 gold}: {Gain 3 combat},Fighter Campaign Skill | Fighter Skill,,,,Level 2,Character Skill,,Antonis Papantoniou
The Ruin of Thandar,1,Knock down,"{Expand and pay 2 gold}: {Gain 3 combat}
Focus <i>(This card may target beyond your area even if there are minions in your area.)</i>
You may move target nearby minion to your area.
|
{Expand and pay 2 gold}: {Gain 3 combat}
You may expend target champion.
<i>(Expended guards do not prevent targeting or attacking other champions or their controller. Cards prepare at the end of their controller’s turn.)</i>",Fighter Campaign Skill | Fighter Skill,,,,Level 3,Character Skill,,Melvin Chan
The Ruin of Thandar,1,Group Tackle,"{Expand and pay 2 gold}: {Gain 2 combat}
Focus <i>(This card may target beyond your area even if there are minions in your area.)</i>
You may move target nearby minion to your area and expend it.
|
{Expand and pay 2 gold}: {Gain 2 combat}
Expend up to two target champions.
<i>(Expended guards do not prevent targeting or attacking other champions or their controller. Cards prepare at the end of their controller’s turn.)</i>",Fighter Campaign Skill | Fighter Skill,,,,Level 3,Character Skill,,Shen Fei
The Ruin of Thandar,1,Shoulder Crush,{Expand and pay 2 gold}: {Gain 4 combat},Fighter Campaign Skill | Fighter Skill,,,,Level 3,Character Skill,,Antonis Papantoniou
The Ruin of Thandar,1,Minor Resurrect,{Sacrifice}: Put a champion with cost {2 gold} or less from your discard pile into play. Use this ability only on a champion that was stunned since your last turn.,Cleric Campaign Ability | Cleric Ability,,,,Level 1,Character Ability,,Jaime Tayag
The Ruin of Thandar,1,Lesser Resurrect,{Sacrifice}: Put a champion with cost {4 gold} or less from your discard pile into play. Use this ability only on a champion that was stunned since your last turn.,Cleric Campaign Ability | Cleric Ability,,,,Level 2,Character Ability,,Jaime Tayag
The Ruin of Thandar,1,Resurrect,{Sacrifice}: Put a champion from your discard pile into play. Use this ability only on a champion that was stunned since your last turn.,Cleric Campaign Ability | Cleric Ability,,,,Level 3,Character Ability,,David Nash
The Ruin of Thandar,1,Battle Resurrect,"{Sacrifice}: Support <i>(You may use this on your turn or on a nearby player’s turn.)</i>
Put a champion from the active player’s discard pile into play. Use this ability only on a champion that was stunned since that player’s last turn.
|
{Sacrifice}: Put any champion, and up to one champion with cost {2 gold} or less, from your discard pile into play. Use this ability only on champions that were stunned since your last turn.",Cleric Campaign Ability | Cleric Ability,,,,Level 4,Character Ability,,Apsara
The Ruin of Thandar,1,Holy Resurrect,"{Sacrifice}: {Gain 5 health}
Put a champion from your discard pile into play. Use this ability only on a champion that was stunned since your last turn.",Cleric Campaign Ability | Cleric Ability,,,,Level 4,Character Ability,,Shen Fei
The Ruin of Thandar,1,Mass Resurrect,"{Sacrifice}: Support <i>(You may use this on your turn or on a nearby player’s turn.)</i>
Put up to two champions from the active player’s discard pile into play. Use this ability only on champions that were stunned since that player’s last turn.
|
{Sacrifice}: Put up to three champions from your discard pile into play. Use this ability only on champions that were stunned since your last turn.",Cleric Campaign Ability | Cleric Ability,,,,Level 5,Character Ability,,Apsara
The Ruin of Thandar,1,Righteous Resurrect,"{Sacrifice}: Support <i>(You may use this on your turn or on a nearby player’s turn.)</i>
The active player gains {5 health}. That player may put a champion from their discard pile into play. Use this ability only on a champion that was stunned since that player’s last turn.
|
{Sacrifice}: {Gain 5 health}
Put any champion, and up to one champion with cost {2 gold} or less, from your discard pile into play. Use this ability only on champions that were stunned since your last turn.",Cleric Campaign Ability | Cleric Ability,,,,Level 5,Character Ability,,Andres Agostini
The Ruin of Thandar,1,Divine Resurrect,"{Sacrifice}: {Gain 10 health}
Put a champion from your discard pile into play. Use this ability only on a champion that was stunned since your last turn.",Cleric Campaign Ability | Cleric Ability,,,,Level 5,Character Ability,,Shen Fei
The Ruin of Thandar,1,Bless,{Expand and pay 2 gold}: Target player gains {3 health} and their champions gain {+1 defense} until the end of your next turn.,Cleric Campaign Skill | Cleric Skill,,,,Level 1,Character Skill,,Dhennis Balontong
The Ruin of Thandar,1,Bless of Iron,{Expand and pay 2 gold}: Target player gains {4 health} and their champions gain {+2 defense} until the end of your next turn.,Cleric Campaign Skill | Cleric Skill,,,,Level 2,Character Skill,,Simon Pape
The Ruin of Thandar,1,Bless of Heart,"{Expand and pay 2 gold}: Focus <i>(This card may target beyond your area even if there are minions in your area.)</i>
You and another target player each gain {3 health} and those players’ champions each gain {+1 defense} until the end of your next turn.
|
{Expand and pay 2 gold}: Target player gains {4 health} plus an additional {1 health} for each champion they control, and their champions gain {+1 defense} until the end of your next turn.",Cleric Campaign Skill | Cleric Skill,,,,Level 2,Character Skill,,Antonis Papantoniou
The Ruin of Thandar,1,Bless of Steel,{Expand and pay 2 gold}: Target player gains {5 health} and their champions gain {+3 defense} until the end of your next turn.,Cleric Campaign Skill | Cleric Skill,,,,Level 3,Character Skill,,Simon Pape
The Ruin of Thandar,1,Bless the Flock,"{Expand and pay 2 gold}: Focus <i>(This card may target beyond your area even if there are minions in your area.)</i>
You and another target player each gain {4 health} and those players’ champions each gain {+2 defense} until the end of your next turn.
|
{Expand and pay 2 gold}: Target player gains {5 health} plus an additional {1 health} for each champion they control, and their champions gain {+2 defense} until the end of your next turn.",Cleric Campaign Skill | Cleric Skill,,,,Level 3,Character Skill,,Souveraine
The Ruin of Thandar,1,Bless of Soul,"{Expand and pay 2 gold}: You and each nearby player gain {3 health} and those players’ champions each gain {+1 defense} until the end of your next turn.
|
{Expand and pay 2 gold}: Target player gains {5 health} plus an additional {2 health} for each champion they control, and their champions gain {+1 defense} until the end of your next turn.",Cleric Campaign Skill | Cleric Skill,,,,Level 3,Character Skill,,Antonis Papantoniou
The Ruin of Thandar,1,Pilfer,"{Sacrifice}: Acquire an item of cost {2 gold} or less for free.
<i>(For example, a Fire Gem.)</i>",Thief Campaign Ability | Thief Ability,,,,Level 1,Character Ability,,Dhennis Balontong
The Ruin of Thandar,1,Theft,{Sacrifice}: Acquire a card of cost {2 gold} or less for free.,Thief Campaign Ability | Thief Ability,,,,Level 2,Character Ability,,Dhennis Balontong
The Ruin of Thandar,1,Heist,"{Sacrifice}: The next time you acquire a card this turn, you may acquire another card of the same faction and of equal or lesser cost for free.
|
{Sacrifice}: This turn, you may acquire a card of cost {1 gold} or more from an opponent’s discard pile by paying its cost. You may not use this ability on your first or second turn.",Thief Campaign Ability | Thief Ability,,,,Level 3,Character Ability,,Jimmy Tayag
The Ruin of Thandar,1,Timely Heist,"{Sacrifice}: The next time you acquire a card this turn, you may acquire another card of the same faction and of equal or lesser cost for free. If the second card costs {3 gold} or less, put it into your hand.",Thief Campaign Ability | Thief Ability,,,,Level 4,Character Ability,,Antonis Papantoniou
The Ruin of Thandar,1,Skillful Heist,"{Sacrifice}: The next time you acquire a card this turn you may acquire another card of equal or lesser cost for free.
|
{Sacrifice}: This turn, you may acquire a card of cost {1 gold} or more from an opponent’s discard pile by paying its cost. You may also acquire a card from the market row of cost {3 gold} or less for free. You may not use this ability on your first or second turn.",Thief Campaign Ability | Thief Ability,,,,Level 4,Character Ability,,Grzegorz Pedrycz
The Ruin of Thandar,1,Practiced Heist,{Sacrifice}: The next time you acquire a card this turn you may acquire another card of the same faction and of equal or lesser cost for free. Put the second card into your hand.,Thief Campaign Ability | Thief Ability,,,,Level 5,Character Ability,,Antonis Papantoniou
The Ruin of Thandar,1,Smooth Heist,{Sacrifice}: The next time you acquire a card this turn you may acquire another card of equal or lesser cost for free. Put cards of cost {3 gold} or less acquired in this way into your hand.,Thief Campaign Ability | Thief Ability,,,,Level 5,Character Ability,,L. Sean
The Ruin of Thandar,1,Masterful Heist,"{Sacrifice}: This turn, you may acquire a card of cost {1 gold} or more from an opponent’s discard pile by paying its cost. You may also acquire a card from the market row of cost {5 gold} or less for free. You may not use this ability on your first or second turn.
|
{Sacrifice}: The next time you acquire a card this turn you may acquire another card that costs up to {1 gold} more for free.",Thief Campaign Ability | Thief Ability,,,,Level 5,Character Ability,,Grzegorz Pedrycz
The Ruin of Thandar,1,Pickpocket,"{Expand and pay 2 gold}: If you can target the master, gain {3 health} and look at the top card of their deck. You may put it into the master’s discard pile <i>(or back on top of their deck)</i>.
|
{Expand and pay 2 gold}: {Gain 3 health}
Target opponent discards a card.",Thief Campaign Skill | Thief Skill,,,,Level 1,Character Skill,,Jimmy Tayag
The Ruin of Thandar,1,Sleight of Hand,"{Expand and pay 2 gold}: {Gain 3 health}
Target a player or master. Look at the top card of their deck. You may put it into their discard pile.
|
{Expand and pay 2 gold}: {Gain 3 health}
Target opponent discards a card. If that card has no cost, gain {1 gold}.",Thief Campaign Skill | Thief Skill,,,,Level 2,Character Skill,,Melvin Chan
The Ruin of Thandar,1,Swipe,"{Expand and pay 2 gold}: {Gain 4 health}
Focus <i>(This card may target beyond your area even if there are minions in your area.)</i>
Look at the top card of target master’s deck. You may put it into the master’s discard pile.
|
{Expand and pay 2 gold}: {Gain 4 health}
Target opponent discards a card.",Thief Campaign Skill | Thief Skill,,,,Level 2,Character Skill,,Apsara
The Ruin of Thandar,1,Misdirection,"{Expand and pay 2 gold}: {Gain 3 health}
Target up to two players and/or masters. Look at the top card of their decks. You may put any of them into their discard piles.
|
{Expand and pay 2 gold}: {Gain 3 health}
Target opponent discards a card. If that card has no cost, gain {2 gold}.",Thief Campaign Skill | Thief Skill,,,,Level 3,Character Skill,,Melvin Chan
The Ruin of Thandar,1,Distracted Exchange,"{Expand and pay 2 gold}: {Gain 4 health}
Focus <i>(This card may target beyond your area even if there are minions in your area.)</i>
Target a player or master. Look at the top card of their deck. You may put it into their discard pile.
|
{Expand and pay 2 gold}: {Gain 5 health}
Target opponent discards a card. If that card has no cost, gain {1 gold}.",Thief Campaign Skill | Thief Skill,,,,Level 3,Character Skill,,David Nash
The Ruin of Thandar,1,Lift,"{Expand and pay 2 gold}: {Gain 6 health}
Focus <i>(This card may target beyond your area even if there are minions in your area.)</i>
Look at the top card of target master’s deck. You may put it into the master’s discard pile.
|
{Expand and pay 2 gold}: {Gain 6 health}
Target opponent discards a card.",Thief Campaign Skill | Thief Skill,,,,Level 3,Character Skill,,Apsara
The Ruin of Thandar,1,Steady Shot,"{Sacrifice}: Stun target minion with {4 defense} or less that isn’t in your area.
|
{Sacrifice}: Stun target non-guard champion with {4 defense} or less.",Ranger Campaign Ability | Ranger Ability,,,,Level 1,Character Ability,,Bilal Bhatti
The Ruin of Thandar,1,Well Placed Shot,"{Sacrifice}: Stun target minion with {6 defense} or less that isn’t in your area.
|
{Sacrifice}: Stun target non-guard champion with {6 defense} or less.",Ranger Campaign Ability | Ranger Ability,,,,Level 2,Character Ability,,Bilal Bhatti
